epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.48348018527030945,9.999999747378752e-05,0.8068973422050476,0.5161290168762207,0.7478846311569214
1,0.5385462641716003,9.999999747378752e-05,0.734757661819458,0.4193548262119293,1.0715011358261108
2,0.6024228930473328,9.999999747378752e-05,0.6237770915031433,0.301075279712677,1.2133210897445679
3,0.657489001750946,9.999999747378752e-05,0.5811710953712463,0.3870967626571655,0.8391644954681396
4,0.6762114763259888,9.999999747378752e-05,0.5478848218917847,0.4462365508079529,0.8979958891868591
5,0.6806167364120483,9.999999747378752e-05,0.5461894869804382,0.5967742204666138,0.6103994250297546
6,0.7246695756912231,9.999999747378752e-05,0.4723275899887085,0.45698925852775574,0.7432451844215393
7,0.7588105797767639,9.999999747378752e-05,0.4568791389465332,0.5107526779174805,0.6699894666671753
8,0.7533039450645447,9.999999747378752e-05,0.4121570587158203,0.6451612710952759,0.596226692199707
9,0.7511013150215149,9.999999747378752e-05,0.43333539366722107,0.6720430254936218,0.5349178314208984
10,0.7907488942146301,9.999999747378752e-05,0.4080531895160675,0.7634408473968506,0.46257469058036804
11,0.7885462641716003,9.999999747378752e-05,0.3935025632381439,0.801075279712677,0.48555493354797363
12,0.7896475791931152,9.999999747378752e-05,0.3791239857673645,0.7634408473968506,0.4391867518424988
13,0.8149779438972473,9.999999747378752e-05,0.3557562530040741,0.6720430254936218,0.4740866422653198
14,0.8061674237251282,9.999999747378752e-05,0.37817925214767456,0.8064516186714172,0.4006999433040619
15,0.8138766288757324,9.999999747378752e-05,0.37931686639785767,0.6827957034111023,0.48037391901016235
16,0.7940528392791748,9.999999747378752e-05,0.3788328170776367,0.7096773982048035,0.48791393637657166
17,0.7940528392791748,9.999999747378752e-05,0.3698168992996216,0.7849462628364563,0.4320043623447418
18,0.8303964734077454,9.999999747378752e-05,0.3114736080169678,0.7043010592460632,0.47699642181396484
19,0.8359031081199646,9.999999747378752e-05,0.3112262487411499,0.5645161271095276,0.603992760181427
20,0.8447136282920837,9.999999747378752e-05,0.3204936683177948,0.7903226017951965,0.4226882755756378
21,0.842510998249054,9.999999747378752e-05,0.3289550244808197,0.8494623899459839,0.3819090723991394
22,0.8171806335449219,9.999999747378752e-05,0.3241605758666992,0.6881720423698425,0.46574071049690247
23,0.8171806335449219,9.999999747378752e-05,0.3338043987751007,0.6397849321365356,0.48920923471450806
24,0.83370041847229,9.999999747378752e-05,0.3150053322315216,0.801075279712677,0.38703492283821106
25,0.8513215780258179,9.999999747378752e-05,0.29777631163597107,0.801075279712677,0.38339442014694214
26,0.8711453676223755,9.999999747378752e-05,0.28051793575286865,0.7956989407539368,0.40465348958969116
27,0.857929527759552,9.999999747378752e-05,0.2840232253074646,0.8494623899459839,0.30895623564720154
28,0.8546255230903625,9.999999747378752e-05,0.2919275164604187,0.8279569745063782,0.3122203052043915
29,0.8700440526008606,9.999999747378752e-05,0.28848206996917725,0.8064516186714172,0.3120613396167755
30,0.8667401075363159,9.999999747378752e-05,0.2825741469860077,0.7580645084381104,0.46659189462661743
31,0.8788546323776245,9.999999747378752e-05,0.2868303060531616,0.7849462628364563,0.36532604694366455
